malId|malScore|popularity|favorites
304|7.55|40285|94
305|5.34|4166|6
306|7.24|80574|306
307|5.98|1141|3
308|6.91|18613|63
309|6.16|5378|5
310|6.06|1697|2
311|7.04|11121|66
312|6.7|1946|4
313|6.87|3622|10
314|7.03|2546|19
315|6.39|2899|6
316|6.17|5189|16
317|7.73|202630|1057
318|6.71|27687|31
319|5.99|5897|6
320|6.55|59697|239
321|5.99|13847|7
322|7.85|189844|3504
323|7.67|353259|4656
324|7.68|32493|375
325|6.96|92245|742
326|7.25|59208|353
327|7.43|13515|73
328|6|8275|10
329|8.27|223117|3628
330|7.25|151910|601
331|7.64|9764|63
332|7.15|3653|5
333|7.33|5315|31
334|7.46|49286|528
335|7.27|36293|172
336|6.44|12229|29
337|6.22|10688|9
338|8.34|82372|2528
339|8.06|618558|21118
340|7.56|22672|126
341|7.23|49672|275
342|6.97|14364|36
343|6.96|70687|252
344|7.36|9546|63
345|7.63|50589|279
346|6.16|14575|11
347|6.64|7317|14
348|6.44|17662|44
349|6.18|5078|6
350|7.25|47060|524
351|7.39|18528|82
352|7.39|18614|108
353|7.65|14336|211
354|5.63|8843|3
355|7.47|502240|4872
356|7.29|857675|6881
357|6.55|181644|677
358|6.95|24283|69
359|6.24|5102|5
360|6.22|5531|4
361|5.87|6121|2
362|6.23|3685|1
363|6.21|3163|0
364|7.43|13106|52
365|6.51|19350|45
366|5.92|30358|37
367|7.05|2468|5
368|6.58|61866|488
369|7.16|113668|873
370|6.54|10197|17
371|7.63|91065|169
372|8.2|105607|407
373|6.7|10615|28
374|6.32|5208|6
375|6.55|7011|10
376|7.16|180120|232
377|6.7|9907|30
378|6.61|4654|4
379|7.49|100485|891
380|7.15|21532|49
381|7.26|19152|41
382|6.34|33035|46
383|7.02|26234|170
384|7.01|324216|2213
385|6.63|36966|159
386|7.24|8751|24
387|7.97|244990|6555
388|7.83|23612|255
389|7.39|60851|302
390|7.19|108194|616
391|6.79|21806|39
392|8.45|588076|19365
393|7.07|63140|171
394|7.13|55513|81
395|7.05|149461|427
396|7.69|30860|256
397|7.81|21805|113
398|7.67|16502|50
399|7.23|3144|2
400|7.85|139572|1958
401|7.98|77749|350
402|6.43|1699|1
403|6.59|29366|40
404|6.72|32237|123
405|6.89|101048|218
406|6.53|13945|12
407|7.74|31894|225
408|7.31|63198|129
411|7.27|71285|312
412|6.54|73169|118
413|2.22|61560|283
415|7.14|40818|88
416|7.95|206952|1631
417|6.45|46282|111
418|7.24|19907|20
419|6.9|52631|188
420|6.66|23374|46
421|6.66|10706|26
422|6.72|3142|1
423|6.84|3398|1
424|7.22|26192|175
425|6.4|6454|9
426|6.1|14246|18
427|7.91|77448|1174
428|7.49|13319|12
429|7.86|13387|30
430|7.53|306572|588
431|8.66|1104423|22657
432|7.06|21358|101
433|7.49|198144|699
434|5.52|6854|4
435|7.46|59983|495
437|8.52|549325|14381
438|6.51|13324|14
439|6.1|7723|12
440|8.18|185670|6947
