malId|malScore|popularity|favorites
302|7.47|1620|31
303|7.17|1838|94
304|7.74|8487|292
305|7.35|1087|19
306|7.08|2226|41
307|6.52|2415|7
308|7.44|3409|40
309|7.05|2745|40
311|6.43|344|1
312|5.89|1157|5
314|7.9|6618|327
315|6.87|493|6
316|7.33|1781|11
317|7.16|1652|24
318|7.29|13906|216
319|7.18|1156|18
320|8.33|38958|3029
321|6.26|568|5
322|7.59|1773|23
323||176|0
324|7.27|2020|44
325|6.63|5204|56
326|7.64|8745|160
327|7.27|4274|49
328|7|2062|13
329|7.41|4461|92
330|6.89|2181|15
332|7.59|13755|724
333|7.39|3424|55
334|7.33|1405|22
335|7.35|1191|20
336|8.89|136974|9823
337||190|1
338|8.14|26060|1186
339|8.12|11844|298
340|6.67|464|5
341|6.71|1493|33
342|6.84|913|9
343|7.61|2398|50
344|7.86|13090|256
345|7.05|834|10
346|6.75|971|24
347|7.21|6230|71
348|8.25|35420|1895
349|6.74|2113|44
350|7.56|6016|81
351|6.68|1775|31
352|7.35|1477|35
353|6.96|726|4
354|6.85|993|11
355|7.55|1345|42
356|7.94|6594|224
357|7.16|13223|288
358|6.89|969|4
359|7.05|616|13
360|6.35|570|2
361||97|0
362|7.33|2673|14
363||274|5
364|7.69|3023|79
365|6.97|691|3
366|7.91|21091|344
367|7.24|989|24
368||240|0
369|7.69|1699|24
370|6.92|1593|20
371|7.93|6747|265
372|6.83|7236|168
373|8.23|18323|681
374|6.53|483|1
375|8.19|21185|1248
376|6.87|626|7
377|7.17|2519|28
378|6.77|1046|19
379|7.81|9069|141
380|7|1413|25
381|7.77|12558|150
382|7.41|1395|13
383|6.92|348|2
384|6.83|2249|72
385|6.85|2261|20
386|6.76|1048|11
387|7.75|32420|1311
388|7.44|1873|41
389|6.84|1834|10
390|7.67|6908|512
391|6.87|5319|82
392|8|19565|550
393|8.11|5393|157
394|7.5|2593|72
395|7.55|15425|307
396|7.35|21980|753
397|7.46|12451|201
398|7.81|12924|466
399|8.58|15584|422
400|7.24|2210|59
401|8.39|89060|3994
402|6.81|836|6
403|6.4|570|3
405|7.18|8367|123
406|7|4546|50
407|8.03|15681|553
408|6.81|900|36
409|7.1|2043|51
410|7.48|4550|69
411|7.93|21591|910
412|7.11|632|3
413|7.54|4770|61
414|7.31|5712|141
416|7.54|9155|82
417|7.47|2294|49
418|8.74|67638|2518
419|8.42|24148|841
420|7.59|6648|121
421|7.51|13734|318
422|7.98|25278|1076
423|6.97|8299|197
424|7.49|13624|307
425|7.38|8061|77
426|7.69|4293|69
427|6.46|2182|32
428|6.94|1209|17
429|7.58|9680|419
430|7.91|45622|1828
431|7.48|891|11
432|7.27|2029|9
433||295|2
434|6.57|336|5
435||276|3
436|8.17|175144|12377
437||187|1
438|7.37|3874|90
439|7.71|3429|83
440|7.06|2906|19
441|6.86|6789|90
442|8.04|11708|319
443|8.33|29479|1746
444|7.52|12630|94
445|8.24|17665|634
446|7.58|15948|723
447|7.34|31410|614
448|7.92|23630|1592
449|6.96|1209|13
450|7.35|2493|34
451||393|7
452|6.06|5452|17
454|6.93|866|9
455|7.33|5845|145
456|7.57|5914|119
457|7.18|2947|39
458|6.13|477|2
459|7.36|7056|73
460|6.98|8106|81
461|7.35|1140|10
462|7.97|6049|100
463|8.18|50623|2902
464|7.39|1394|19
465|7.24|17298|122
466|6.38|315|0
467|7.39|1521|35
468|6.94|787|11
469|7.63|4589|67
470|6.86|712|5
471|6.59|3099|19
472|7.39|4020|117
473|7.73|4898|118
474|7.65|4241|57
475|7.33|13101|450
476|7.1|820|9
477|6.87|466|9
478|6.98|1271|46
479||200|3
480|6.85|1009|20
481|8.3|41934|1557
482|7.36|2506|17
483|7.71|14149|335
484|6.82|592|7
485|6.42|479|4
486|7.43|5538|112
489|7.03|4388|90
491|7.12|1592|23
492|7.1|1217|3
493|6.55|329|0
495|7.11|1449|10
496|6.78|2249|58
497|7.38|2431|84
499|6.9|2644|29
500|7.73|8616|200
501|6.49|1600|6
502|6.82|2389|19
503|7.12|1912|10
504|7.42|1063|6
505|6.31|1035|7
506|6.56|1651|28
507|7.28|2018|33
508|7.34|2061|45
509|8.03|15872|817
510|8.23|7567|222
511|6.88|1862|24
512|7.41|12539|204
513|7.71|22927|880
514|7.96|6453|156
516|6.51|1296|10
517|6.78|2020|32
518||184|0
519|7.24|889|15
520|6.76|614|1
521|6.87|639|3
523|6.49|690|9
524|6.58|442|1
525|7.07|889|16
526|7.32|5233|37
527|7.07|739|6
528|6.83|959|13
529|6.79|1422|3
530|7.3|2376|49
531|7.36|1265|18
532|7.05|1250|8
533|7.09|720|6
534|7.97|11545|428
535|6.52|444|2
536|7.66|1968|101
537|7.28|2184|10
538|6.89|3921|23
539|7.44|2535|50
540|6.92|340|1
541|7.21|1981|11
542|7.44|2479|17
543|7.33|3018|139
544|8.05|11547|352
545|7.03|1140|12
546|6.86|641|7
547|6.65|530|11
548|7.02|3981|11
549|7.39|2505|36
550|6.54|285|1
551|7.74|6581|228
552|6.66|3152|11
553|7.75|5021|63
554|6.93|23869|881
555|6.35|11366|156
556|7.83|15277|509
557|7.95|4114|119
558|7|805|16
559|6.85|2559|33
560|6.95|1571|30
561|7.35|2353|83
562|7.63|6263|180
563|7.92|5801|141
564|8.12|193007|16350
565|6.2|2156|18
566||219|1
569||215|2
571|7.56|1791|22
572|7.78|20069|504
573|8.13|7012|219
574|7.56|12050|206
575|6.84|1043|5
576|7.57|4651|62
578|7.22|649|16
579|7.14|4225|80
580|7.75|8554|229
581||211|0
582|7.84|19997|1040
583|8.31|160395|11824
584|7.71|97707|4041
585|8.27|25648|1230
586|7.44|4854|69
587|7.86|13913|646
588|6.71|2062|4
589|6.94|1047|3
591|8.13|60759|2186
592|7.03|618|2
593|7.25|1184|40
594|7.08|769|14
595|8.02|12431|316
596||455|6
597|6.92|5211|99
598|7.59|252539|20720
599|6.48|665|9
600||283|1
601|6.67|1941|8
602|6.82|3356|9
604|6.28|4462|14
605||155|0
606|7.21|12421|75
607|7.38|2185|10
608|7.72|4626|30
609|7.39|2867|9
610|8.58|84464|8905
611|7.23|10599|268
612|7.26|2226|5
613|7.58|4897|73
614|6.77|11011|108
615|7.67|14998|368
616|7.95|40775|1249
617|6.83|708|2
618|7.46|91169|5831
619|7.52|11415|157
621|6.76|626|1
622|7.25|1401|6
623|7.18|1022|2
624|7.43|2387|48
625|7.44|8974|50
626|6.77|604|1
627|7.49|13722|196
628|7.28|5338|61
629|7.11|15081|248
630|6.88|1913|5
631|7.56|3636|37
632|7.4|3467|29
633|8.1|26198|1011
634|7.86|8166|176
635|8.16|17263|891
636|6.95|541|4
640|7.02|1332|7
641|6.5|578|4
642|9|218413|23176
643|6.07|540|4
644|7.43|3827|80
645|7.59|5948|93
646|7.28|22334|673
647|6.77|13195|333
648|8.09|31634|1723
649|8.09|21234|963
650|7.49|4065|14
651|8.83|48011|3012
652|7.24|2413|49
653|7.58|11807|263
655|8.12|9506|392
656|9.17|260306|27293
657|8.86|60713|2637
658|8.43|65070|2583
659|7.42|2780|51
660|8.35|13093|584
661|8.16|26518|1265
662|7.52|7432|146
663|7.17|8108|91
664|8.69|106605|5668
665|8.03|22664|849
666|6.67|3254|16
668|7.4|7799|141
669|7.6|82268|2960
670|8.11|28037|1067
671|7.5|61932|2147
672|7.16|1595|49
674|8.13|18346|722
675|7.3|636|8
676|7.85|57715|2908
677|7.06|11484|191
678|7.48|8989|295
679|7.19|524|10
681|6.97|891|12
682|7.55|15791|355
683|6.87|7083|83
684|6.97|9400|198
686|7.29|5031|32
688|8.16|13969|620
689|7.3|6935|66
691|7.11|2817|24
693|7.08|2611|51
694|7.42|1531|38
695|7.32|5741|169
696|7.87|29768|1897
697|7.63|11168|127
698|8.56|92148|6645
699|6.7|2446|31
700|7.08|5535|179
703|7.75|27903|653
704|8.18|21051|984
705|8.2|34708|1806
706|7.55|2085|82
707|7.39|8546|168
708|6.78|1661|11
709|7.39|1965|48
710|7.89|17646|658
